,Model,r2,neg_mean_absolute_error,neg_mean_squared_error,max_error
0,LogisticRegression,-0.029676711247059367,-7.5625,-492.3125,-64.5
0,Ridge,0.5431367915728091,-5.015818275569037,-135.85246372185614,-34.38451438443148
0,AdaBoostRegressor,-0.4722160100627387,-9.305237369229225,-499.96026003451135,-68.54389880952381
0,GradientBoostingRegressor,-1.0900903884809563,-6.569699683556978,-430.2590209214444,-71.25045372577826
0,RandomForestRegressor,-0.8417722996092215,-6.527375,-431.1342562499999,-66.9675
0,KNeighborsRegressor,0.051635698864417795,-7.3999999999999995,-490.01700000000005,-67.05
0,SVR,-0.021234809073252592,-7.540027555303094,-547.4107222677214,-70.37427021588307
